MP_URL,accessibleAt_status,checked_URLs,persistentId
https://marketplace.sshopencloud.eu/tool-or-service/jbQ9cV,429.0,['http://www.eurac.edu/en/research/autonomies/commul/projects/pages/linfovis/programs.aspx#CorpusClouds'],jbQ9cV
https://marketplace.sshopencloud.eu/tool-or-service/lEvn5p,429.0,['http://www.eurac.edu/en/research/autonomies/commul/projects/pages/linfovis/programs.aspx#DoubleTree'],lEvn5p
https://marketplace.sshopencloud.eu/tool-or-service/rGfpOv,,[],rGfpOv
https://marketplace.sshopencloud.eu/tool-or-service/3m4luN,429.0,['http://www.eurac.edu/en/research/autonomies/commul/projects/pages/linfovis/programs.aspx#Extendedlinguisticdependency'],3m4luN
https://marketplace.sshopencloud.eu/tool-or-service/vkgi6R,429.0,['http://www.eurac.edu/en/research/autonomies/commul/projects/Pages/Linfovis/programs.aspx#interhist'],vkgi6R
https://marketplace.sshopencloud.eu/tool-or-service/jM5B77,,[],jM5B77
https://marketplace.sshopencloud.eu/tool-or-service/mDBg8V,403.0,['https://pro.europeana.eu/resources/apis'],mDBg8V
https://marketplace.sshopencloud.eu/tool-or-service/t1LnGq,,[],t1LnGq
https://marketplace.sshopencloud.eu/tool-or-service/EJXz56,503.0,['http://www.evilinhd.com/'],EJXz56
https://marketplace.sshopencloud.eu/tool-or-service/gQR3IB,,[],gQR3IB
https://marketplace.sshopencloud.eu/tool-or-service/7P8FQY,444.0,['https://www.opentext.com/products-and-solutions/products/specialty-technologies/connectivity/exceed'],7P8FQY
https://marketplace.sshopencloud.eu/tool-or-service/fCxnJg,503.0,['https://www.simile-widgets.org/exhibit3/'],fCxnJg
https://marketplace.sshopencloud.eu/tool-or-service/k8phAn,,[],k8phAn
https://marketplace.sshopencloud.eu/tool-or-service/yL7nCC,,[],yL7nCC
https://marketplace.sshopencloud.eu/tool-or-service/4x6nxm,,[],4x6nxm
https://marketplace.sshopencloud.eu/tool-or-service/Ue0kwN,503.0,['https://facesdeeva.fcsh.unl.pt/'],Ue0kwN
https://marketplace.sshopencloud.eu/tool-or-service/fQnfDE,403.0,['https://tulengua.iatext.ulpgc.es/family-of-word/'],fQnfDE
https://marketplace.sshopencloud.eu/tool-or-service/UOIBxu,,[],UOIBxu
https://marketplace.sshopencloud.eu/tool-or-service/0UyfMR,,[],0UyfMR
https://marketplace.sshopencloud.eu/tool-or-service/rQYLSw,503.0,['https://duraspace.org/fedora/'],rQYLSw
https://marketplace.sshopencloud.eu/tool-or-service/mdEbYT,202.0,['https://figshare.com/'],mdEbYT
https://marketplace.sshopencloud.eu/tool-or-service/TSCHdQ,503.0,['https://wcss.pl/uslugi/'],TSCHdQ
